UniProtIds	PLFrequency
O14818	0.091
O14920	0.091
O14981	0.091
O15027	0.091
O15042	0.091
O15118	0.091
O15260	0.091
O15355	0.091
O15379	0.091
O15460	0.091
O43252	0.091
O43395	0.091
O43432	0.091
O43464	0.091
O43583	0.091
O43681	0.091
O43776	0.091
O43809	0.091
O60241	0.091
O60443	0.091
O60502	0.091
O60506	0.091
O60568	0.091
O60762	0.091
O60763	0.091
O60825	0.091
O60828	0.091
O60888	0.091
O60925	0.091
O75083	0.091
O75592	0.091
O75643	0.091
O75794	0.091
O75962	0.091
O76021	0.091
O76087	0.091
O76094	0.091
O94776	0.091
O94903	0.091
O94906	0.091
O95340	0.091
O95347	0.091
O95433	0.091
O95486	0.091
O95747	0.091
O95749	0.091
O95834	0.091
O95861	0.091
O96008	0.091
O96019	0.091
P00492	0.091
P00505	0.091
P01111	0.091
P01891	0.091
P02533	0.091
P02795	0.091
P04818	0.091
P05114	0.091
P05204	0.091
P05388	0.091
P05455	0.091
P06396	0.091
P06493	0.091
P06703	0.091
P06753	0.091
P06899	0.091
P07099	0.091
P07602	0.091
P07910	0.091
P07951	0.091
P07954	0.091
P08195	0.091
P08236	0.091
P08237	0.091
P08865	0.091
P09012	0.091
P09429	0.091
P09497	0.091
P09622	0.091
P09651	0.091
P09884	0.091
P0CG30	0.091
P0CL80	0.091
P0CL81	0.091
P0CL82	0.091
P10515	0.091
P10586	0.091
P10620	0.091
P10768	0.091
P11388	0.091
P11532	0.091
P11802	0.091
P12429	0.091
P12532	0.091
P13073	0.091
P13284	0.091
P13797	0.091
P13798	0.091
P13804	0.091
P13861	0.091
P13929	0.091
P15291	0.091
P15586	0.091
P15924	0.091
P15927	0.091
P16070	0.091
P16152	0.091
P16220	0.091
P16383	0.091
P16403	0.091
P16949	0.091
P16989	0.091
P17096	0.091
P17706	0.091
P17858	0.091
P18621	0.091
P18754	0.091
P19174	0.091
P20290	0.091
P20839	0.091
P21266	0.091
P21281	0.091
P22033	0.091
P22234	0.091
P22392	0.091
P23193	0.091
P23284	0.091
P23434	0.091
P23527	0.091
P25208	0.091
P25325	0.091
P25398	0.091
P25705	0.091
P25786	0.091
P25787	0.091
P26373	0.091
P26583	0.091
P26599	0.091
P26640	0.091
P26641	0.091
P27694	0.091
P27816	0.091
P28066	0.091
P28331	0.091
P28702	0.091
P29144	0.091
P29966	0.091
P30043	0.091
P30044	0.091
P30046	0.091
P30047	0.091
P30085	0.091
P30153	0.091
P30419	0.091
P30566	0.091
P30740	0.091
P31150	0.091
P31151	0.091
P31153	0.091
P31350	0.091
P31942	0.091
P31946	0.091
P31949	0.091
